state,constituency,state_key,constituency_key,variable,value,unit,source_name,source_url_or_document,source_year,geography_level,method,confidence,notes,entered_by,last_updated,needs_election_result_research
Maharashtra,Amravati,MAHARASHTRA,AMRAVATI,urban_pct,,percent,,,,,,,,,,false
Maharashtra,Amravati,MAHARASHTRA,AMRAVATI,literacy_rate,,percent,,,,,,,,,,false
Maharashtra,Amravati,MAHARASHTRA,AMRAVATI,female_literacy_pct,,percent,,,,,,,,,,false
Maharashtra,Amravati,MAHARASHTRA,AMRAVATI,male_literacy_pct,,percent,,,,,,,,,,false
Maharashtra,Amravati,MAHARASHTRA,AMRAVATI,sc_pct,,percent,,,,,,,,,,false
Maharashtra,Amravati,MAHARASHTRA,AMRAVATI,st_pct,,percent,,,,,,,,,,false
Maharashtra,Amravati,MAHARASHTRA,AMRAVATI,religion_hindu_pct,,percent,,,,,,,,,,false
Maharashtra,Amravati,MAHARASHTRA,AMRAVATI,religion_muslim_pct,,percent,,,,,,,,,,false
Maharashtra,Amravati,MAHARASHTRA,AMRAVATI,population_density,,persons_per_sq_km,,,,,,,,,,false
Maharashtra,Amravati,MAHARASHTRA,AMRAVATI,sex_ratio,,females_per_1000_males,,,,,,,,,,false
Maharashtra,Bhiwandi,MAHARASHTRA,BHIWANDI,urban_pct,,percent,,,,,,,,,,false
Maharashtra,Bhiwandi,MAHARASHTRA,BHIWANDI,literacy_rate,,percent,,,,,,,,,,false
Maharashtra,Bhiwandi,MAHARASHTRA,BHIWANDI,female_literacy_pct,,percent,,,,,,,,,,false
Maharashtra,Bhiwandi,MAHARASHTRA,BHIWANDI,male_literacy_pct,,percent,,,,,,,,,,false
Maharashtra,Bhiwandi,MAHARASHTRA,BHIWANDI,sc_pct,,percent,,,,,,,,,,false
Maharashtra,Bhiwandi,MAHARASHTRA,BHIWANDI,st_pct,,percent,,,,,,,,,,false
Maharashtra,Bhiwandi,MAHARASHTRA,BHIWANDI,religion_hindu_pct,,percent,,,,,,,,,,false
Maharashtra,Bhiwandi,MAHARASHTRA,BHIWANDI,religion_muslim_pct,,percent,,,,,,,,,,false
Maharashtra,Bhiwandi,MAHARASHTRA,BHIWANDI,population_density,,persons_per_sq_km,,,,,,,,,,false
Maharashtra,Bhiwandi,MAHARASHTRA,BHIWANDI,sex_ratio,,females_per_1000_males,,,,,,,,,,false
Karnataka,Hassan,KARNATAKA,HASSAN,literacy_rate,,percent,,,,,,,,,,false
Karnataka,Hassan,KARNATAKA,HASSAN,female_literacy_pct,,percent,,,,,,,,,,false
Karnataka,Hassan,KARNATAKA,HASSAN,male_literacy_pct,,percent,,,,,,,,,,false
Karnataka,Hassan,KARNATAKA,HASSAN,sc_pct,,percent,,,,,,,,,,false
Karnataka,Hassan,KARNATAKA,HASSAN,st_pct,,percent,,,,,,,,,,false
Karnataka,Hassan,KARNATAKA,HASSAN,religion_hindu_pct,,percent,,,,,,,,,,false
Karnataka,Hassan,KARNATAKA,HASSAN,religion_muslim_pct,,percent,,,,,,,,,,false
Karnataka,Hassan,KARNATAKA,HASSAN,population_density,,persons_per_sq_km,,,,,,,,,,false
Karnataka,Hassan,KARNATAKA,HASSAN,sex_ratio,,females_per_1000_males,,,,,,,,,,false
Tamil Nadu,TIRUNELVELI,TAMIL NADU,TIRUNELVELI,urban_pct,,percent,,,,,,,,,,false
Tamil Nadu,TIRUNELVELI,TAMIL NADU,TIRUNELVELI,literacy_rate,,percent,,,,,,,,,,false
Tamil Nadu,TIRUNELVELI,TAMIL NADU,TIRUNELVELI,female_literacy_pct,,percent,,,,,,,,,,false
Tamil Nadu,TIRUNELVELI,TAMIL NADU,TIRUNELVELI,male_literacy_pct,,percent,,,,,,,,,,false
Tamil Nadu,TIRUNELVELI,TAMIL NADU,TIRUNELVELI,sc_pct,,percent,,,,,,,,,,false
Tamil Nadu,TIRUNELVELI,TAMIL NADU,TIRUNELVELI,st_pct,,percent,,,,,,,,,,false
Tamil Nadu,TIRUNELVELI,TAMIL NADU,TIRUNELVELI,religion_hindu_pct,,percent,,,,,,,,,,false
Tamil Nadu,TIRUNELVELI,TAMIL NADU,TIRUNELVELI,religion_muslim_pct,,percent,,,,,,,,,,false
Tamil Nadu,TIRUNELVELI,TAMIL NADU,TIRUNELVELI,population_density,,persons_per_sq_km,,,,,,,,,,false
Tamil Nadu,TIRUNELVELI,TAMIL NADU,TIRUNELVELI,sex_ratio,,females_per_1000_males,,,,,,,,,,false
Uttar Pradesh,Bansgaon,UTTAR PRADESH,BANSGAON,urban_pct,,percent,,,,,,,,,,false
Uttar Pradesh,Bansgaon,UTTAR PRADESH,BANSGAON,literacy_rate,,percent,,,,,,,,,,false
Uttar Pradesh,Bansgaon,UTTAR PRADESH,BANSGAON,female_literacy_pct,,percent,,,,,,,,,,false
Uttar Pradesh,Bansgaon,UTTAR PRADESH,BANSGAON,male_literacy_pct,,percent,,,,,,,,,,false
